25 Mart 2026 Çarşamba,10:30-12:20,B,A,,,,,,,,,,
26 Mart 2026 Perşembe,10:30-12:20,C,B,,,,E,,,,,,
27 Mart 2026 Cuma,10:30-12:20,D,C,,H,,F,,,,,,
30 Mart 2026 Pazartesi,10:30-12:20,E,D,,B,,G,,,,,,
31 Mart 2026 Salı,10:30-12:20,F,E,,G,,H,,,,,,
1 Nisan 2026 Çarşamba,10:30-12:20,G,F,,D,,,,,,,,
2 Nisan 2026 Perşembe,10:30-12:20,H,G,,E,,,, SINAV TELAFİ,,,,
3 Nisan 2026 Cuma,10:30-12:20,G,H,,F,,,,,,,,
6 Nisan 2026 Pazartesi,10:30-12:20,H,A,,C,,,,,,,,
7 Nisan 2026 Salı,10:30-12:20,C,B,,A,,,,,,,,
8 Nisan 2026 Çarşamba,10:30-12:20,D,C,,E,,,,,,,,
9 Nisan 2026 Perşembe,10:30-12:20,E,D,,C,,,,,,,,
10 Nisan 2026 Cuma,10:30-12:20,F,E,,D,,C,,,,,,
20 Nisan 2026 Pazartesi,08:30-10:20,,,,,D3,,,,,,,
20 Nisan 2026 Pazartesi,10:30-12:20,,H,,F,CD,,, SINAV TELAFİ,,,,
21 Nisan 2026 Salı,09.30-11-20,,,,,,B,,,,,,
22 Nisan 2026 Çarşamba,08:30-10:20,,,,,D3,,,,,,,
22 Nisan 2026 Çarşamba,10:30-12:20,,A,,G,CD,E,,,,,,
24 Nisan 2026 Cuma,10:30-12:20,,B,,H,EF,G,,,,,,
27 Nisan 2026 Pazartesi,10:30-12:20,A,C,,B,EF,H,,,,,,
27 Nisan 2026 Pazartesi,13:00-15:00,,,,,F4,,,,,,,
28 Nisan 2026 Salı,10:30-12:20,B,D,,A,GH,F,,,,,,
28 Nisan 2026 Salı,13:30-15:20,,,,,H3,,,,,,,
29 Nisan 2026 Çarşamba,10:30-12:20,,E,,,GH,,, SINAV TELAFİ,,,,
30 Nisan Perşembe,08:30-10:20,,F,,,,B,,,,,,
30 Nisan Perşembe,10:30-12:20,,G,,,,,,,,,,
30 Nisan Perşembe,13:00-15:00,,,,,F4,,,,,,,
30 Nisan Perşembe,13:30-15:20,,,,,H3,,,,,,,
30 Nisan Perşembe,14.30-16.00,,,,,,A,,,,,,
4 Mayıs 2026 Pazartesi,10:30-12:20,,F,,,AB,,,,,,,
4 Mayıs 2026 Pazartesi,13:30-15:20,,,,,"A1,A2",,,,,,,
4 Mayıs 2026 Pazartesi,14.30-16.20,,,,,G4,,,,,,,
5 Mayıs 2026 Salı,10:30-12:20,,G,,,AB,,,,,,,
11 Mayıs Pazartesi,09.20-12.30,,,,,,TELAFİ,,,,,,
11 Mayıs Pazartesi,16.20-17.30,,,,,,,, SINAV TELAFİ,,,,
13 Mayıs 2026 Çarşamba,08:30-10:20,,H,,,,D,,,,,,
13 Mayıs 2026 Çarşamba,16:00-17:30,,,,,,TELAFİ,,,,,,
15 Mayıs 2026 Cuma,09:00-10:50,,,Tüm Gruplar (Amfide yapılacak),,,,,,,,,
18 Mayıs 2026 Pazartesi,13:30-15:20,,TELAFİ,,,TELAFİ-a2,,,,,,,
18 Mayıs 2026 Pazartesi,15:00-16:50,,,,,TELAFİ-a1,,,,,,,
20 Mayıs 2026 Çarşamba,13:30-15:20,,,,,TELAFİ,,,,,,,
2 Haziran 2026 Salı,10:00-12:30,,,,,,TELAFİ,,,,,,
3 Haziran 2026 Çarşamba,13:30-15:20,TELAFİ,,,,,,,,,,,
3 Haziran 2026 Çarşamba,15:30-17:00,,,,,,TELAFİ,,,,,,
9 Haziran 2026 Salı,15:45-17:30,,,,,,TELAFİ,,TELAFİ,,,,
Uygulama Sayısı,,4,5,1,3,1,,,,,,,
,,,,,,,,,,,,,
NOT: Dikey Koridor Dilimi Münazara uygulaması Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat) Simüle Eğitim Merkezinde yapılacaktır. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,
FİZYOLOJİ AD.,,,,,,,,,,,,,
1-Hücre Fizyolojisi-Membran potansiyeli ve aksiyon potansiyellerinin bilgisayar ortamında simülasyonu,,,,,,,,,,,,,
,,,,,,,,,,,,,
TIBBİ BİYOLOJİ AD.,,,,,,,,,,,,,
1. Tanı yöntemleri değerlendirilmesi,,,,,,,,,,,,,
2. Karyotip,,,,,,,,,,,,,
3. Aile ağacı,,,,,,,,,,,,,
4. Olgu tartışması ,,,,,,,,,,,,,
,,,,,,,,,,,,,
BİYOFİZİK AD.,,,,,,,,,,,,,
1.Poliakrilamid jel elektroforezi ile molekül ağırlığının tayini,,,,,,,,,,,,,
2.DNA İzolasyonu,,,,,,,,,,,,,
3.DNA Elektroforezi,,,,,,,,,,,,,
4.PCR (Polimeraz Zincir Reaksiyonu),,,,,,,,,,,,,
5.Biyoelektrik potansiyeller,,,,,,,,,,,,,
,,,,,,,,,,,,,
HİSTOLOJİ AD.,,,,,,,,,,,,,
