Dönem,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER,,,,,,
Dönem 1,10 Ekim 2025 Cuma,08:30,09:10,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,10 Ekim 2025 Cuma,09:20,10:00,11- Tıpta Dayanışma ve Sorumluluk /  Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,10 Ekim 2025 Cuma,10:10,10:50,12- Tıpta Mobing / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,10 Ekim 2025 Cuma,11:00,11:40,7-Zekanın Tanımı ve Yapısı / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,10 Ekim 2025 Cuma,11:50,12:30,8-Zeka Testleri /Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,10 Ekim 2025 Cuma,14:00,15:50,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,10 Ekim 2025 Cuma,16:00,16:40,Mikroskopik görüntülemede fiziksel ilkeler / Prof. Dr. Muhammet BEKTAŞ (İngilizce Tıp ile ortak ders),TIBBA MERHABA DİLİMİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,13 Ekim 2025 Pazartesi,08:30,10:20,ENTEGRE OTURUM - Sigara ve sağlığım - Dr. Öğr. Üyesi Emine Şeyma KARAKETİR (Doç.Dr. M. Merve ÖREN ÇELİK) / Prof. Dr. Züleyha BİNGÖL (İngilizce Tıp ile ortak ders),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD. - GÖĞÜS HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,13 Ekim 2025 Pazartesi,10:30,12:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,13 Ekim 2025 Pazartesi,13:30,14:10,9-Öğrenme ve Öğrenme Kuramları /Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,13 Ekim 2025 Pazartesi,14:20,15:00,10-Bellek ve Bellek Bozuklukları / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,13 Ekim 2025 Pazartesi,15:10,15:50,5-Sağlık hizmetleri ve sağlık politikalarının temel özellikleri / Prof. Dr. Nuray ÖZGÜLNAR (Prof. Dr. Selma KARABEY),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,13 Ekim 2025 Pazartesi,16:00,16:40,6-Sağlık hizmetlerinin Türkiye'de ve Dünya'da sunumu - sağlık insangücü / Dr. Öğr. Üyesi Özkan AYVAZ / (Prof. Dr. G. Nurhan İNCE),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,14 Ekim 2025 Salı,08:30,09:10,7-Kişiye Yönelik Önlemler - Birincil koruma / Prof. Dr. Ayşe Emel ÖNAL (Dr. Öğr. Üyesi Özkan AYVAZ),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,14 Ekim 2025 Salı,09:20,10:00,8-Kişiye Yönelik Önlemler -İkincil ve üçüncül koruma / Prof. Dr. Ayşe Emel ÖNAL (Dr. Öğr. Üyesi Özkan AYVAZ),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,14 Ekim 2025 Salı,10:30,12:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,14 Ekim 2025 Salı,13:30,14:10,11-Kişilik - Huy - Karakter - Kişilik Katmanları Yaklaşımı /  Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,14 Ekim 2025 Salı,14:20,15:00,12-Psikoanalitik Kişilik Kuramı - Kişilik Testleri /  Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,14 Ekim 2025 Salı,15:10,15:50,5-Boğulmalarda İlk Yardım - Sıcak ve Elektrik Çarpmalarında İlk Yardım / Prof. Dr. Meltem SAVRAN KARADENİZ (Doç. Dr. Demet ALTUN BİNGÖL),TIBBA MERHABA DİLİMİ / ANESTEZİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
